type,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
Control,York,L0J,Casual Dining,Franchise,9,Yes,No,1-10,18.81,No
Control,Halton,L9T,Premium Casual,Franchise,7,Yes,Yes,1-10,17.16,No
Control,York,L0G,Fast Casual,No,7,Yes,No,1-10,19.42,No
Control,Durham,L1Z,Family Style,Franchise,17,Yes,No,1-10,20.47,No
Control,Toronto,M4U,Premium Casual,Franchise,6,No,Yes,1-10,17.34,No
Control,Toronto,M4L,Fast Food,No,5,Yes,No,1-10,17.55,No
Control,Peel,L7K,Casual Dining,No,10,Yes,Yes,10-20,16.41,No
Control,York,L3S,Fast Food,Franchise,9,Yes,Yes,1-10,21.12,No
Control,York,L7E,Fast Food,No,3,Yes,No,1-10,12.94,Yes
Control,Toronto,M8Q,Fine Dining,No,16,Yes,No,10-20,14.32,No
Control,York,L9N,Casual Dining,Franchise,5,Yes,Yes,1-10,16.73,No
Control,Peel,L5V,Casual Dining,Franchise,1,Yes,Yes,1-10,21.44,No
Control,Toronto,M9Z,Family Style,Franchise,14,Yes,Yes,1-10,16.54,No
Control,York,L4E,Fast Casual,No,5,Yes,No,1-10,21.28,No
Control,York,L0H,Premium Casual,No,15,Yes,Yes,10-20,16.03,No
Control,Halton,L7R,Fine Dining,No,22,Yes,No,1-10,18.76,No
Control,Toronto,M1T,Family Style,No,4,Yes,Yes,10-20,17.08,No
Control,Halton,L6L,Casual Dining,Franchise,0,Yes,Yes,10-20,16.76,No
Control,Durham,L0B,Fast Casual,No,1,Yes,Yes,1-10,13.27,No
Control,Durham,L1Z,Fast Food,Franchise,13,Yes,Yes,1-10,16.08,No
Control,York,L0G,Fast Food,Franchise,18,Yes,No,1-10,18.67,No
Control,Toronto,M5H,Fast Food,No,14,Yes,No,1-10,11.08,No
Control,Durham,L9P,Casual Dining,No,13,Yes,No,1-10,16.66,No
Control,York,L6G,Fast Casual,No,0,Yes,No,10-20,20.46,No
Control,Peel,L6X,Fine Dining,No,3,Yes,No,10-20,19.55,No
Control,York,L7E,Family Style,No,20,Yes,Yes,10-20,13.93,No
Control,York,L6E,Fast Casual,No,16,No,No,1-10,19.3,No
Control,Toronto,M9W,Casual Dining,Franchise,17,Yes,Yes,1-10,18.32,No
Control,Peel,L4X,Fine Dining,Franchise,12,Yes,Yes,10-20,17.3,No
Control,Durham,L9L,Fast Food,Franchise,5,Yes,Yes,20-30,17.13,No
Control,Toronto,M5S,Fast Casual,Franchise,10,Yes,Yes,1-10,13.66,No
Control,Peel,L5B,Fast Food,Franchise,5,Yes,Yes,1-10,18.65,No
Control,Toronto,M2C,Family Style,No,8,Yes,Yes,1-10,22.09,No
Control,York,L6G,Premium Casual,No,10,Yes,No,1-10,18.05,No
Control,Peel,L4Z,Casual Dining,No,12,Yes,No,1-10,19.5,No
Control,Toronto,M3B,Premium Casual,No,12,Yes,No,10-20,20.14,No
Control,Toronto,M3T,Family Style,Franchise,7,Yes,Yes,10-20,19.85,No
Control,Halton,L0P,Family Style,No,0,Yes,No,10-20,19.06,No
Control,Toronto,M4R,Casual Dining,No,10,Yes,No,10-20,13.21,No
Control,Peel,L6S,Casual Dining,No,10,No,No,10-20,16.75,No
Control,Peel,L6Y,Casual Dining,No,14,Yes,No,1-10,17.98,No
Control,Toronto,M5P,Fast Casual,No,9,Yes,No,10-20,18.86,No
Control,York,L9N,Casual Dining,No,5,Yes,Yes,1-10,16.52,No
Control,Toronto,M7Y,Casual Dining,No,12,Yes,Yes,1-10,19.54,No
Control,Toronto,M8T,Family Style,No,18,Yes,Yes,10-20,19.22,No
Control,York,L6G,Family Style,No,3,No,Yes,10-20,19.6,No
Control,Peel,L4V,Casual Dining,No,10,Yes,No,1-10,18.46,No
Control,Toronto,M5J,Casual Dining,Franchise,22,Yes,Yes,1-10,17.99,No
Control,Toronto,M3M,Fast Casual,Franchise,6,Yes,No,1-10,15.07,No
Control,Peel,L5V,Premium Casual,No,5,No,Yes,10-20,16.55,No
Control,York,L3P,Family Style,Franchise,8,Yes,No,1-10,16.26,No
Control,York,L7E,Casual Dining,No,8,Yes,No,1-10,15.87,No
Control,York,L9N,Fast Casual,No,15,Yes,No,1-10,20.09,No
Control,Peel,L4Y,Family Style,No,11,Yes,No,10-20,18.89,No
Control,Peel,L6Y,Casual Dining,Franchise,3,Yes,Yes,1-10,14.8,No
Control,Peel,L5S,Fast Casual,Franchise,0,Yes,No,10-20,19.5,No
Control,Toronto,M5T,Family Style,No,7,Yes,No,1-10,17.02,No
Control,Toronto,M0R,Fine Dining,Franchise,7,Yes,No,1-10,17.3,No
Control,Peel,L4Y,Fast Food,No,10,Yes,Yes,10-20,19.36,No
Control,Halton,L9T,Family Style,Franchise,1,Yes,No,1-10,17.66,No
Control,Durham,L9P,Fast Casual,No,22,Yes,Yes,1-10,16.91,No
Control,Halton,L0P,Fine Dining,No,0,Yes,Yes,1-10,17,No
Control,Peel,L4Y,Family Style,No,17,Yes,Yes,10-20,18.96,No
Control,Toronto,M6R,Family Style,Franchise,7,Yes,Yes,10-20,16.55,Yes
Control,Toronto,M0F,Family Style,Franchise,13,Yes,Yes,10-20,16.43,No
Control,Halton,L7N,Family Style,No,13,Yes,Yes,1-10,17.88,No
Control,York,L3P,Family Style,No,10,Yes,No,10-20,16.28,No
Control,Peel,L5R,Fast Casual,No,7,Yes,Yes,1-10,19.19,No
Control,Toronto,M6H,Premium Casual,No,10,Yes,No,1-10,15.37,No
Control,Halton,L7S,Fast Casual,No,17,Yes,Yes,10-20,18.47,No
Control,York,L0J,Fast Casual,Franchise,4,Yes,No,10-20,15.27,No
Control,Toronto,M5X,Casual Dining,No,1,Yes,No,1-10,18.55,No
Control,Toronto,M5F,Fast Food,Franchise,13,Yes,Yes,1-10,19.19,No
Control,Peel,L7C,Fine Dining,Franchise,1,Yes,Yes,1-10,16.75,No
Control,Halton,L9T,Fine Dining,Franchise,12,Yes,Yes,1-10,17.3,No
Control,York,L7B,Premium Casual,Franchise,16,Yes,Yes,1-10,23.8,No
Control,York,L4G,Fast Casual,No,5,Yes,No,10-20,17.05,No
Control,Halton,L6H,Fast Food,No,8,Yes,No,10-20,18.79,No
Control,Durham,L1G,Family Style,Franchise,8,Yes,Yes,10-20,19.26,No
Control,York,L6B,Fine Dining,No,8,Yes,Yes,1-10,16.37,No
Control,Peel,L4Y,Family Style,Franchise,13,No,No,1-10,17.56,No
Control,Halton,L7R,Fast Casual,No,11,Yes,Yes,1-10,20.17,No
Control,York,L7E,Fast Casual,Franchise,16,Yes,Yes,10-20,16.81,No
Control,Toronto,M0J,Casual Dining,No,0,Yes,Yes,1-10,16.59,No
Control,Durham,L9P,Casual Dining,Franchise,12,Yes,No,10-20,16.64,No
Control,Halton,L7N,Fast Food,No,11,Yes,No,10-20,18.12,No
Control,York,L4G,Casual Dining,No,8,Yes,Yes,10-20,14.9,No
Control,Peel,L6P,Fast Casual,No,23,Yes,Yes,10-20,9.21,No
Control,York,L0N,Casual Dining,Franchise,8,Yes,Yes,1-10,14.29,No
Control,Peel,L7K,Casual Dining,No,13,Yes,No,1-10,17.14,No
Control,York,L6G,Casual Dining,No,13,Yes,No,1-10,18.57,No
Control,Peel,L4T,Casual Dining,No,9,Yes,No,1-10,16.23,No
Control,Durham,L9L,Casual Dining,Franchise,13,Yes,No,10-20,19.94,No
Control,Peel,L4Y,Fast Food,No,12,Yes,No,20-30,17.13,No
Control,Peel,L5L,Premium Casual,No,1,No,No,10-20,15.35,No
Control,Peel,L6W,Fast Casual,Franchise,4,Yes,Yes,10-20,18.44,No
Control,Peel,L7C,Family Style,Franchise,8,Yes,Yes,10-20,15.9,No
Control,Peel,L4V,Casual Dining,No,6,No,No,10-20,18.16,No
Control,Peel,L7A,Casual Dining,No,16,Yes,No,1-10,17.03,No
Control,Toronto,M3J,Casual Dining,Franchise,8,Yes,Yes,10-20,12.85,No
Control,Durham,L9L,Casual Dining,No,18,No,Yes,1-10,18.05,No
Control,Toronto,M8D,Casual Dining,No,0,Yes,No,20-30,17.21,No
Control,York,L0N,Fast Food,Franchise,12,Yes,Yes,10-20,15.64,No
Control,Peel,L5A,Fast Food,No,0,Yes,No,1-10,18.41,No
Control,Toronto,M9Z,Fast Casual,Franchise,7,Yes,Yes,1-10,19.35,No
Control,Toronto,M8M,Casual Dining,Franchise,6,No,Yes,1-10,15.65,No
Control,Peel,L6S,Casual Dining,No,10,Yes,No,10-20,17.33,No
Control,Peel,L5A,Family Style,Franchise,16,No,Yes,10-20,17,No
Control,York,L6E,Premium Casual,No,18,Yes,Yes,10-20,17.84,No
Control,York,L7B,Casual Dining,Franchise,1,Yes,No,10-20,18.47,Yes
Control,York,L4H,Family Style,No,1,Yes,No,1-10,19.98,No
Control,Halton,L9T,Casual Dining,Franchise,14,No,Yes,20-30,18.01,No
Control,Halton,L9E,Fast Casual,No,1,No,Yes,1-10,17.11,No
Control,Durham,L1N,Fast Food,No,3,Yes,Yes,10-20,17.23,No
Control,Peel,L4Y,Fast Casual,No,2,Yes,No,1-10,17.31,No
Control,York,L7B,Premium Casual,No,4,Yes,No,10-20,17.78,No
Control,Toronto,M5G,Premium Casual,No,8,Yes,No,1-10,18.45,No
Control,Durham,L9L,Fast Casual,No,16,No,Yes,1-10,16.64,No
Control,Halton,L0P,Casual Dining,No,9,No,Yes,10-20,15.78,No
Control,York,L3Y,Premium Casual,No,7,Yes,Yes,1-10,22.88,No
Control,Toronto,M5V,Fast Food,No,15,Yes,No,1-10,19.61,No
Control,Toronto,M0N,Fine Dining,No,20,Yes,No,10-20,16.67,No
Control,Peel,L7K,Family Style,No,19,No,No,1-10,18.29,No
Control,Toronto,M0D,Casual Dining,Franchise,2,Yes,No,1-10,16.72,No
Control,Halton,L9E,Casual Dining,No,2,Yes,No,1-10,12.07,No
Control,York,L4L,Fast Casual,Franchise,9,No,No,10-20,20.1,No
Control,Halton,L7P,Casual Dining,No,6,Yes,No,10-20,18.04,No
Control,Toronto,M2P,Casual Dining,No,12,Yes,Yes,10-20,13.68,No
Control,Peel,L5P,Casual Dining,No,6,Yes,Yes,1-10,14.77,No
Control,Toronto,M0Q,Fast Food,Franchise,10,Yes,Yes,1-10,18.95,No
Control,Toronto,M9B,Fast Casual,Franchise,4,Yes,No,1-10,14.35,No
Control,Toronto,M2X,Casual Dining,No,7,Yes,Yes,1-10,17.44,No
Control,Halton,L6K,Family Style,Franchise,21,Yes,No,1-10,19.33,No
Control,Toronto,M7M,Casual Dining,No,6,Yes,No,1-10,16.28,No
Control,York,L7E,Family Style,Franchise,3,Yes,Yes,10-20,13.35,No
Control,York,L4L,Fast Casual,No,14,Yes,Yes,10-20,15.61,No
Control,Peel,L6Y,Family Style,Franchise,2,Yes,No,1-10,11.61,No
Control,Peel,L6W,Fine Dining,No,14,No,No,1-10,14.15,No
Control,Peel,L4Y,Fast Casual,No,18,Yes,No,1-10,24.28,No
Control,Toronto,M5S,Premium Casual,No,14,Yes,No,1-10,14.53,No
Control,Toronto,M4V,Casual Dining,No,11,Yes,No,10-20,19.25,No
Control,Peel,L6Z,Family Style,No,27,Yes,Yes,10-20,16.05,No
Control,Toronto,M6G,Casual Dining,No,14,No,Yes,10-20,13.97,No
Control,Peel,L7C,Casual Dining,Franchise,13,Yes,Yes,1-10,16.95,No
Control,Durham,L9L,Premium Casual,Franchise,6,Yes,Yes,10-20,17.02,No
Control,York,L6G,Family Style,No,9,Yes,No,10-20,16.76,No
Control,York,L6A,Fast Casual,Franchise,2,Yes,No,10-20,18.95,No
Control,York,L6A,Family Style,No,20,Yes,Yes,1-10,18.75,No
Control,Peel,L4W,Fine Dining,No,18,Yes,No,10-20,17.79,No
Control,Toronto,M4G,Fine Dining,Franchise,6,Yes,No,10-20,16.93,No
Control,Toronto,M4U,Family Style,No,20,Yes,No,1-10,16.56,No
Control,York,L4C,Fine Dining,No,14,No,No,10-20,19.62,No
Control,Toronto,M7L,Family Style,No,8,Yes,No,10-20,20.66,No
Control,Toronto,M6K,Casual Dining,Franchise,4,Yes,No,1-10,19.6,No
Control,Toronto,M0N,Premium Casual,Franchise,18,Yes,No,10-20,19.02,No
Control,York,L4P,Fine Dining,No,14,Yes,Yes,1-10,19.33,No
Control,Peel,L7A,Premium Casual,No,5,Yes,Yes,1-10,17.26,No
Control,Halton,L6M,Fine Dining,No,2,Yes,Yes,1-10,14.7,No
Control,York,L9N,Casual Dining,No,2,Yes,No,10-20,20.28,No
Control,York,L4B,Fast Food,No,9,Yes,Yes,1-10,19.37,No
Control,Durham,L1T,Fast Casual,Franchise,24,Yes,No,1-10,18.38,No
Control,Toronto,M7C,Casual Dining,Franchise,3,Yes,No,1-10,18.03,No
Control,Peel,L4Z,Premium Casual,No,10,Yes,Yes,10-20,14.62,No
Control,Toronto,M6G,Casual Dining,No,12,Yes,Yes,10-20,14.45,No
Control,Peel,L4W,Premium Casual,No,6,Yes,Yes,1-10,13.66,No
Control,Toronto,M5B,Casual Dining,No,7,Yes,Yes,10-20,17.97,No
Control,Halton,L0P,Family Style,No,3,Yes,No,1-10,17,No
Control,York,L9N,Fast Casual,No,7,Yes,Yes,10-20,17.53,No
Control,Peel,L6R,Casual Dining,No,11,Yes,No,10-20,15.95,No
Control,Toronto,M8E,Family Style,No,14,Yes,No,1-10,15.74,No
Control,Toronto,M0K,Family Style,No,17,Yes,No,1-10,17.81,No
Control,Durham,L9P,Casual Dining,No,9,Yes,No,1-10,11.91,No
Control,Durham,L9L,Premium Casual,Franchise,4,Yes,No,1-10,20.49,No
Control,York,L3Y,Fast Casual,No,9,Yes,No,1-10,18.34,No
Control,Peel,L4W,Fast Food,No,11,Yes,No,1-10,14.52,No
Control,Peel,L4Z,Premium Casual,No,13,Yes,Yes,10-20,18.01,No
Control,Peel,L4Z,Premium Casual,No,5,Yes,No,10-20,15.97,No
Control,York,L4E,Casual Dining,Franchise,23,Yes,No,1-10,15.32,No
Control,Halton,L7T,Premium Casual,Franchise,3,Yes,No,10-20,18.02,No
Control,Toronto,M8P,Family Style,No,5,Yes,No,>30,15.9,No
Control,Durham,L9L,Premium Casual,No,4,Yes,No,1-10,15.11,No
Control,York,L6B,Family Style,No,24,Yes,Yes,10-20,16.2,No
Control,Toronto,M0X,Fast Casual,No,0,Yes,No,10-20,16.33,No
Control,Toronto,M4W,Family Style,No,11,Yes,Yes,10-20,20.06,No
Control,Halton,L7T,Premium Casual,No,5,Yes,No,10-20,16.12,No
Control,Durham,L9P,Family Style,No,9,Yes,No,10-20,14.99,No
Control,Halton,L0P,Fast Food,No,11,Yes,No,10-20,18.35,Yes
Control,Halton,L7P,Casual Dining,No,11,Yes,Yes,1-10,19.53,No
Control,York,L6E,Family Style,No,11,Yes,Yes,10-20,15.75,No
Control,Peel,L4X,Fast Food,No,10,Yes,No,1-10,13.15,No
Control,Toronto,M3Z,Premium Casual,Franchise,2,Yes,Yes,1-10,12.25,No
Control,Toronto,M5M,Fast Casual,No,6,Yes,No,1-10,20.26,No
Control,York,L0G,Fast Food,No,4,Yes,No,1-10,17.17,No
Control,York,L7B,Casual Dining,No,11,Yes,No,1-10,12.37,No
Control,Peel,L4Z,Family Style,Franchise,1,Yes,Yes,1-10,10.66,No
Control,Halton,L9T,Premium Casual,Franchise,2,Yes,No,10-20,17.33,No
Control,Toronto,M9U,Fast Casual,Franchise,15,Yes,No,1-10,19.1,No
Control,Peel,L6V,Family Style,Franchise,8,Yes,Yes,10-20,18.36,No
Control,Durham,L0B,Casual Dining,No,1,Yes,No,1-10,17.31,No
Control,Toronto,M4E,Premium Casual,Franchise,20,Yes,No,10-20,20.23,No
Control,Peel,L6W,Family Style,No,4,Yes,Yes,1-10,16.42,Yes
Control,York,L9N,Casual Dining,No,19,Yes,Yes,1-10,16.56,No
Control,Peel,L4V,Fine Dining,No,9,Yes,No,1-10,17.57,No
Control,Peel,L4Y,Premium Casual,No,1,Yes,No,1-10,14.89,No
Control,Peel,L7A,Fast Casual,Franchise,16,Yes,Yes,1-10,14.03,No
Control,Toronto,M8G,Premium Casual,Franchise,13,Yes,No,10-20,16.84,No
Control,York,L7B,Fast Casual,No,21,Yes,Yes,1-10,20.57,No
Control,Peel,L5N,Casual Dining,Franchise,2,Yes,Yes,1-10,18.96,No
Control,Toronto,M4D,Fast Casual,No,13,Yes,No,1-10,18.5,No
Control,York,L9N,Fast Casual,No,15,Yes,No,1-10,17.76,No
Control,Toronto,M2J,Family Style,Franchise,0,Yes,No,1-10,18.69,No
Control,Toronto,M1Z,Casual Dining,No,1,Yes,No,10-20,20.37,No
Control,Halton,L9E,Premium Casual,No,12,Yes,Yes,10-20,15.23,No
Control,Peel,L6R,Fast Casual,No,9,Yes,Yes,10-20,15.6,Yes
Control,Durham,L1R,Premium Casual,No,17,Yes,Yes,10-20,19.46,No
Control,Halton,L9T,Fine Dining,No,1,Yes,Yes,10-20,17.46,No
Control,York,L7E,Fast Casual,No,15,Yes,Yes,10-20,16.14,No
Control,Halton,L6J,Premium Casual,Franchise,22,No,No,10-20,16.56,No
Control,Toronto,M8M,Premium Casual,Franchise,28,Yes,No,10-20,14.84,No
Control,Peel,L7K,Fast Casual,No,7,Yes,Yes,20-30,18.38,No
Control,York,L3Y,Casual Dining,No,9,Yes,Yes,1-10,21.66,No
Control,Peel,L4V,Family Style,Franchise,9,Yes,No,1-10,16.25,No
Control,Toronto,M9I,Fast Casual,No,14,No,No,1-10,16.56,No
Control,Peel,L7K,Casual Dining,No,5,Yes,Yes,1-10,18.82,No
Control,Halton,L0P,Casual Dining,No,4,Yes,Yes,10-20,19.44,Yes
Control,Durham,L0B,Fast Casual,Franchise,3,No,Yes,10-20,19.15,No
Control,York,L7E,Family Style,No,8,Yes,No,1-10,19.91,No
Control,Toronto,M0K,Casual Dining,No,4,Yes,Yes,10-20,17.82,No
Control,York,L9N,Premium Casual,No,15,Yes,Yes,1-10,21.58,No
Control,Durham,L0E,Casual Dining,No,12,Yes,No,10-20,16.19,No
Control,Durham,L9P,Casual Dining,Franchise,19,Yes,No,1-10,13.95,No
Control,Toronto,M5M,Fine Dining,No,1,No,No,10-20,17.94,No
Control,Toronto,M0A,Fast Food,Franchise,10,Yes,No,1-10,18.76,No
Control,Durham,L0E,Fast Casual,No,7,Yes,Yes,1-10,14.17,No
Control,Halton,L7S,Fast Food,No,1,Yes,Yes,1-10,19.51,Yes
Control,Peel,L5V,Premium Casual,No,3,Yes,No,10-20,16.12,No
Control,York,L3X,Fast Casual,No,3,Yes,No,1-10,16.38,No
Control,York,L3X,Fast Food,No,10,Yes,No,1-10,19.74,No
Control,Halton,L7N,Casual Dining,Franchise,4,Yes,No,10-20,17.87,No
Control,Peel,L5S,Family Style,No,2,Yes,No,1-10,13.83,No
Control,Toronto,M6A,Fast Food,Franchise,16,Yes,Yes,1-10,18.56,No
Control,Toronto,M1F,Casual Dining,No,4,Yes,No,10-20,19.87,No
Control,Halton,L9T,Casual Dining,No,5,Yes,Yes,10-20,12.6,No
Control,Toronto,M0A,Casual Dining,Franchise,5,Yes,No,10-20,19.89,No
Control,York,L7B,Fast Casual,No,8,Yes,Yes,10-20,17.55,No
Control,Toronto,M5B,Family Style,Franchise,1,Yes,No,10-20,21.2,No
Control,Peel,L6Y,Fast Food,Franchise,6,Yes,No,20-30,17.29,No
Control,Durham,L9L,Fast Casual,Franchise,16,Yes,Yes,10-20,14.73,No
Control,York,L7E,Premium Casual,Franchise,17,Yes,Yes,10-20,18.53,No
Control,Halton,L0P,Fast Casual,No,17,Yes,Yes,1-10,20.18,No
Control,Toronto,M3L,Fast Food,No,15,Yes,No,1-10,17.65,No
Control,Halton,L6L,Casual Dining,Franchise,8,No,No,1-10,21.3,No
Control,Peel,L5K,Family Style,No,12,No,Yes,10-20,14.9,No
Control,Peel,L7C,Fast Casual,No,1,Yes,Yes,20-30,21.79,No
Control,Toronto,M4V,Casual Dining,No,5,Yes,No,1-10,13.83,No
Control,Toronto,M3D,Fast Casual,No,17,Yes,Yes,1-10,17.71,No
Control,Toronto,M9B,Family Style,Franchise,22,Yes,Yes,1-10,18.39,No
Control,Peel,L6Z,Family Style,No,18,No,No,10-20,14.75,No
Control,Toronto,M5U,Fast Casual,No,0,Yes,No,1-10,19.42,No
Control,Durham,L1K,Casual Dining,Franchise,11,Yes,No,10-20,22.31,No
Control,Peel,L5J,Fast Casual,No,14,Yes,Yes,1-10,21.36,No
Control,York,L0H,Premium Casual,No,1,Yes,No,1-10,13.49,No
Control,Peel,L4V,Premium Casual,Franchise,5,Yes,No,10-20,22.23,No
Control,Peel,L6R,Premium Casual,Franchise,5,Yes,Yes,1-10,18.68,No
Control,Durham,L0C,Fast Casual,Franchise,4,Yes,Yes,1-10,20.67,No
Control,Peel,L7A,Fine Dining,Franchise,18,Yes,No,10-20,15.81,No
Control,Halton,L9T,Family Style,No,5,Yes,Yes,10-20,19.36,No
Control,Peel,L7A,Casual Dining,No,5,No,No,10-20,20.62,No
Control,Peel,L4X,Premium Casual,Franchise,26,Yes,No,10-20,15.85,No
Control,Toronto,M1K,Casual Dining,Franchise,10,Yes,No,10-20,16.68,No
Control,Peel,L7A,Casual Dining,No,4,Yes,Yes,1-10,15.64,No
Control,Durham,L0B,Family Style,No,8,Yes,No,10-20,14.26,No
Control,York,L0J,Fast Casual,No,16,Yes,Yes,20-30,19.54,No
Control,Peel,L6X,Family Style,Franchise,23,Yes,No,10-20,18.39,No
Control,Toronto,M8O,Family Style,Franchise,9,Yes,No,10-20,18.22,No
Control,Peel,L4V,Fast Casual,Franchise,2,Yes,Yes,1-10,16.32,No
Control,Toronto,M2E,Family Style,Franchise,0,Yes,Yes,10-20,15.56,No
Control,Peel,L6S,Premium Casual,No,9,Yes,No,1-10,20.12,No
Control,Toronto,M4Z,Casual Dining,Franchise,20,Yes,Yes,10-20,17.39,No
Control,Toronto,M9T,Casual Dining,Franchise,10,Yes,No,1-10,14.65,No
Control,Peel,L5W,Fine Dining,No,7,Yes,Yes,1-10,16.4,No
Control,Toronto,M4P,Family Style,Franchise,23,Yes,Yes,1-10,18.7,No
Control,Halton,L0P,Premium Casual,Franchise,13,No,Yes,10-20,18.23,No
Control,Durham,L1R,Casual Dining,No,16,Yes,Yes,10-20,21.2,No
Control,Toronto,M6C,Premium Casual,No,5,Yes,No,1-10,15.69,No
Control,Toronto,M8P,Casual Dining,No,4,Yes,Yes,1-10,13.09,No
Control,York,L9N,Family Style,No,1,Yes,No,10-20,15.48,No
Control,Toronto,M6R,Premium Casual,Franchise,6,Yes,Yes,1-10,18.14,No
Control,Halton,L0P,Fast Casual,No,27,Yes,Yes,10-20,15.79,No
Control,Toronto,M8A,Casual Dining,No,21,Yes,No,1-10,21.19,No
Control,Peel,L5W,Family Style,Franchise,0,Yes,Yes,>30,15.67,No
Control,York,L3Y,Fast Casual,No,13,Yes,No,1-10,17.93,No
Control,York,L4B,Family Style,No,4,Yes,Yes,10-20,16.09,No
Control,Toronto,M0F,Premium Casual,Franchise,2,Yes,No,10-20,16.15,No
Control,York,L9N,Fast Casual,Franchise,16,Yes,No,10-20,15.83,Yes
Control,Toronto,M9E,Casual Dining,No,8,Yes,No,1-10,14.69,No
Control,Durham,L0C,Premium Casual,No,16,Yes,Yes,1-10,19.62,No
Control,Toronto,M2H,Casual Dining,No,11,Yes,No,10-20,21.55,No
Control,Toronto,M1T,Family Style,No,9,Yes,Yes,10-20,15.64,No
Control,Durham,L9P,Casual Dining,No,9,Yes,No,1-10,16.91,No
Control,Peel,L7A,Casual Dining,No,7,Yes,No,10-20,15.75,No
Control,Peel,L6V,Fast Food,No,5,Yes,No,1-10,20.57,No
Control,Peel,L6S,Family Style,No,6,No,Yes,1-10,18.18,No
Control,York,L7E,Fine Dining,No,5,Yes,Yes,10-20,16.36,No
Control,Toronto,M9C,Fast Food,No,12,Yes,Yes,1-10,15.67,No
Control,Toronto,M6N,Premium Casual,Franchise,22,Yes,No,10-20,18.36,No
Control,Toronto,M9Q,Fine Dining,No,17,No,Yes,1-10,17.71,No
Control,Toronto,M6G,Fast Food,No,4,Yes,Yes,1-10,13.34,No
Control,Toronto,M0Y,Casual Dining,No,7,Yes,No,10-20,14.6,No
Control,Peel,L6T,Casual Dining,No,15,Yes,Yes,10-20,17.01,No
Control,York,L3S,Casual Dining,Franchise,2,Yes,No,1-10,16.39,No
Control,Halton,L9T,Fast Casual,Franchise,15,Yes,No,1-10,17.12,No
Control,York,L7B,Fine Dining,No,13,Yes,Yes,20-30,18.43,No
Control,Halton,L0P,Casual Dining,No,21,Yes,Yes,1-10,15.05,No
Control,Halton,L0P,Family Style,No,22,Yes,No,1-10,17.22,No
Control,Toronto,M3K,Premium Casual,No,5,Yes,No,1-10,12.73,No
Control,Halton,L7N,Casual Dining,No,9,No,Yes,1-10,20.06,No
Control,York,L0G,Casual Dining,Franchise,20,No,Yes,10-20,15.4,No
Control,York,L9N,Fast Casual,Franchise,13,Yes,No,1-10,14.17,No
Control,York,L0J,Fast Casual,Franchise,3,Yes,No,10-20,15.58,No
Control,Halton,L0P,Fast Casual,No,4,Yes,Yes,1-10,18.97,No
Control,Halton,L9E,Casual Dining,No,7,Yes,Yes,10-20,16.57,No
Control,Peel,L4Z,Fine Dining,No,3,Yes,No,10-20,16.16,No
Control,Toronto,M5W,Casual Dining,No,15,Yes,No,1-10,16.46,No
Control,Durham,L1J,Casual Dining,No,3,Yes,Yes,1-10,21.36,No
Control,York,L3Y,Casual Dining,Franchise,10,No,No,1-10,14.48,No
Control,Halton,L9E,Premium Casual,No,11,Yes,Yes,10-20,15.7,No
Control,Halton,L9E,Fine Dining,No,8,Yes,Yes,1-10,19.29,No
Control,Peel,L7K,Fine Dining,No,7,Yes,No,1-10,20.7,No
Control,Toronto,M4S,Family Style,No,1,No,No,1-10,18.18,No
Control,York,L0H,Fast Casual,No,17,Yes,Yes,10-20,16.62,Yes
Control,Halton,L7R,Fine Dining,No,11,Yes,Yes,1-10,20.16,No
Control,Halton,L0P,Fast Casual,No,4,Yes,Yes,10-20,18.21,No
Control,Toronto,M0U,Family Style,Franchise,16,Yes,Yes,10-20,16.08,No
Control,Halton,L9T,Family Style,Franchise,6,Yes,No,1-10,19.75,No
Control,Toronto,M9U,Fine Dining,Franchise,24,Yes,No,20-30,19.32,No
Control,Peel,L7C,Family Style,Franchise,12,Yes,No,10-20,17.44,No
Control,Peel,L4Z,Family Style,No,14,Yes,No,10-20,15.92,No
Control,York,L3Z,Fast Casual,No,12,Yes,Yes,10-20,16.03,No
Control,Peel,L4X,Fast Casual,No,14,Yes,Yes,10-20,18.8,No
Control,Halton,L7N,Fast Casual,No,4,Yes,Yes,20-30,18.13,No
Control,York,L0E,Fast Casual,No,13,Yes,Yes,10-20,20.84,No
Control,Durham,L1J,Casual Dining,No,3,Yes,No,1-10,15.84,No
Control,Peel,L5L,Fast Casual,Franchise,5,Yes,No,10-20,15.85,No
Control,Halton,L7P,Family Style,No,2,Yes,No,1-10,19.53,No
Control,Toronto,M6D,Casual Dining,No,1,Yes,No,10-20,17.78,No
Control,York,L7E,Fast Food,Franchise,5,Yes,Yes,10-20,19.67,No
Control,York,L7E,Fine Dining,No,8,No,Yes,1-10,13.86,No
Control,Toronto,M3L,Fine Dining,No,17,Yes,Yes,10-20,12.77,No
Control,Halton,L6J,Premium Casual,Franchise,2,Yes,No,1-10,18.6,No
Control,Toronto,M4I,Casual Dining,Franchise,8,No,Yes,10-20,16.52,No
Control,York,L6A,Fast Food,No,3,Yes,Yes,1-10,15.75,No
Control,York,L9N,Fine Dining,Franchise,11,Yes,Yes,1-10,16.87,No
Control,Peel,L5S,Casual Dining,No,16,Yes,No,10-20,19.48,No
Control,Durham,L0B,Family Style,No,7,Yes,No,10-20,18.5,No
