type,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q9,Q10
Control,L0E,Durham,Casual Dining,No,10,Yes,Yes,20.93,No
Control,L9L,Durham,Fast Casual,Franchise,11,Yes,No,17.92,No
Control,L5G,Peel,Fast Food,Franchise,3,Yes,No,18.85,No
Control,M5B,Toronto,Casual Dining,No,9,Yes,Yes,18.46,No
Control,L0E,Durham,Family Style,Franchise,4,Yes,No,13.77,No
Control,M9O,Toronto,Casual Dining,No,12,Yes,No,16.14,No
Control,L7E,York,Fast Casual,Franchise,10,Yes,No,11.3,No
Control,M9H,Toronto,Family Style,No,9,Yes,No,20.93,No
Control,M8W,Toronto,Casual Dining,Franchise,12,No,No,20.18,No
Control,L7L,Halton,Casual Dining,No,20,Yes,No,14.4,No
Control,L7E,York,Fine Dining,No,10,Yes,No,19.08,No
Control,M2S,Toronto,Casual Dining,No,14,Yes,No,17.91,No
Control,M4O,Toronto,Fast Casual,No,1,Yes,Yes,12.25,No
Control,M6X,Toronto,Fast Casual,No,11,Yes,No,11.34,No
Control,L9N,York,Casual Dining,No,9,Yes,No,16.68,No
Control,M2G,Toronto,Fast Casual,No,2,Yes,No,20.04,No
Control,M3C,Toronto,Casual Dining,No,3,Yes,No,16.41,No
Control,L1W,Durham,Casual Dining,No,12,Yes,No,19.67,No
Control,L6V,Peel,Fast Casual,No,7,Yes,Yes,17.22,No
Control,L5J,Peel,Family Style,No,21,Yes,No,13.3,No
Control,L5T,Peel,Casual Dining,No,9,Yes,No,17.83,No
Control,M0S,Toronto,Casual Dining,No,10,Yes,No,13.12,No
Control,L0E,Durham,Fast Casual,Franchise,1,Yes,Yes,21.13,No
Control,M7C,Toronto,Fast Casual,No,11,Yes,No,17.07,No
Control,L0E,Durham,Premium Casual,No,36,Yes,Yes,16.59,No
Control,L7C,Peel,Fast Casual,No,8,Yes,Yes,21.39,No
Control,M7I,Toronto,Family Style,No,0,Yes,Yes,16.9,No
Control,L9N,York,Family Style,No,12,Yes,No,18.16,No
Control,L4W,Peel,Fast Casual,No,16,Yes,No,17.41,No
Control,M6E,Toronto,Casual Dining,No,9,Yes,Yes,16.8,No
Control,L0J,York,Casual Dining,Franchise,2,No,No,13.83,No
Control,L7K,Peel,Family Style,Franchise,1,Yes,No,17.66,No
Control,M1K,Toronto,Fine Dining,No,17,Yes,No,16.84,No
Control,L6A,York,Premium Casual,No,3,Yes,Yes,17.28,No
Control,L9E,Halton,Fine Dining,Franchise,5,Yes,No,18.87,No
Control,M1O,Toronto,Family Style,No,8,Yes,No,19.42,No
Control,L0E,Durham,Casual Dining,No,4,Yes,Yes,15.38,No
Control,L0P,Halton,Family Style,No,9,Yes,No,22.36,No
Control,L9L,Durham,Fine Dining,No,11,Yes,No,16.85,No
Control,L4T,Peel,Fast Casual,No,28,Yes,Yes,18.54,No
Control,M8S,Toronto,Family Style,No,20,Yes,No,15.85,No
Control,L7E,York,Casual Dining,Franchise,3,Yes,No,16.49,No
Control,L6M,Halton,Fast Food,No,11,Yes,Yes,20.2,No
Control,L7A,Peel,Fast Casual,No,13,Yes,No,19.43,No
Control,M0K,Toronto,Family Style,No,22,No,Yes,18.15,No
Control,L4S,York,Family Style,Franchise,1,Yes,Yes,14.69,No
Control,M6D,Toronto,Fast Casual,Franchise,3,Yes,No,13.86,No
Control,L0P,Halton,Fine Dining,Franchise,10,Yes,No,14.83,No
Control,L4T,Peel,Premium Casual,Franchise,0,Yes,Yes,10.83,No
Control,L0B,Durham,Fast Casual,No,6,Yes,No,14.58,No
Control,M1E,Toronto,Fine Dining,Franchise,16,Yes,Yes,21.34,No
Control,L7E,York,Fast Food,No,5,No,No,16.69,No
Control,L9N,York,Fast Casual,Franchise,11,Yes,Yes,18.61,No
Control,L7A,Peel,Family Style,No,18,Yes,Yes,18.73,No
Control,M3R,Toronto,Fine Dining,No,1,Yes,Yes,19.1,No
Control,L7R,Halton,Fast Casual,Franchise,2,Yes,Yes,18.41,No
Control,L4Z,Peel,Casual Dining,No,12,Yes,No,18.75,No
Control,L7A,Peel,Premium Casual,No,14,Yes,Yes,17.53,No
Control,L0C,Durham,Fine Dining,Franchise,12,Yes,Yes,19.18,No
Control,L9E,Halton,Fast Casual,No,16,Yes,No,16.44,No
Control,M8J,Toronto,Family Style,No,16,Yes,No,20.1,No
Control,M4G,Toronto,Fast Casual,No,14,Yes,Yes,16.87,No
Control,L6R,Peel,Family Style,No,13,Yes,No,13.63,No
Control,L3X,York,Premium Casual,No,6,Yes,Yes,13.66,No
Control,M0H,Toronto,Family Style,No,8,Yes,Yes,15.95,No
Control,M4A,Toronto,Fast Food,No,1,Yes,No,13.98,No
Control,L6L,Halton,Family Style,Franchise,9,Yes,No,18.89,No
Control,L0G,York,Family Style,Franchise,11,No,Yes,19.18,No
Control,L7A,Peel,Family Style,Franchise,2,Yes,No,14.15,No
Control,L7R,Halton,Family Style,No,6,Yes,No,17.33,No
Control,L6T,Peel,Family Style,No,14,No,Yes,15.93,No
Control,L4C,York,Family Style,No,5,Yes,No,18.2,No
Control,L6X,Peel,Casual Dining,No,1,Yes,No,16.93,No
Control,L0N,York,Fast Food,No,2,Yes,Yes,17.27,No
Control,M3F,Toronto,Casual Dining,No,9,Yes,Yes,18.08,No
Control,L0P,Halton,Premium Casual,Franchise,11,Yes,No,19.81,No
Control,L9N,York,Family Style,Franchise,16,Yes,No,16.72,No
Control,L4S,York,Casual Dining,Franchise,8,Yes,No,18.24,No
Control,L5B,Peel,Casual Dining,No,3,Yes,Yes,13.55,No
Control,L7B,York,Family Style,No,13,Yes,Yes,16.48,No
Control,L0P,Halton,Family Style,No,20,No,Yes,16.94,No
Control,L0N,York,Fast Casual,Franchise,6,No,No,12.98,No
Control,L6L,Halton,Fast Casual,No,0,Yes,No,18.85,No
Control,M3M,Toronto,Fast Casual,No,24,Yes,Yes,16.66,No
Control,L7S,Halton,Fine Dining,No,5,No,Yes,19.66,No
Control,L0E,York,Fine Dining,No,9,Yes,Yes,19.23,No
Control,L9N,York,Fast Food,Franchise,9,Yes,No,19.42,No
Control,M1A,Toronto,Fast Casual,No,9,Yes,Yes,21.93,No
Control,L6E,York,Premium Casual,Franchise,5,Yes,No,16.73,No
Control,M9G,Toronto,Casual Dining,Franchise,8,Yes,Yes,16.93,No
Control,L4V,Peel,Fast Food,No,6,Yes,Yes,12.87,No
Control,M6T,Toronto,Fine Dining,No,12,No,Yes,20.9,No
Control,M8T,Toronto,Fast Casual,Franchise,7,Yes,No,17,No
Control,L4T,Peel,Casual Dining,Franchise,5,Yes,No,14.66,No
Control,M7H,Toronto,Casual Dining,Franchise,11,Yes,No,18.82,No
Control,M7G,Toronto,Fast Casual,No,18,Yes,Yes,22.5,No
Control,L4B,York,Family Style,No,3,Yes,No,19.56,No
Control,L6H,Halton,Fine Dining,No,13,Yes,No,11.43,No
Control,L7C,Peel,Premium Casual,No,17,Yes,Yes,18.72,No
Control,L6C,York,Fine Dining,No,11,No,No,15.56,No
Control,L7M,Halton,Casual Dining,No,3,Yes,No,17.1,No
Control,L0E,Durham,Family Style,No,10,Yes,No,16.04,No
Control,M9C,Toronto,Casual Dining,Franchise,19,No,Yes,17.93,No
Control,L1Z,Durham,Casual Dining,No,3,Yes,No,17.5,No
Control,L5A,Peel,Casual Dining,No,9,Yes,Yes,14.74,No
Control,M0K,Toronto,Fine Dining,No,0,No,No,17.12,No
Control,M0F,Toronto,Casual Dining,No,7,Yes,No,17.87,No
Control,M0Q,Toronto,Fast Casual,No,7,Yes,No,15.01,No
Control,L4V,Peel,Premium Casual,No,0,Yes,No,21.2,No
Control,M3X,Toronto,Family Style,No,6,Yes,No,19.25,No
Control,L5E,Peel,Fast Casual,Franchise,27,Yes,Yes,18.63,No
Control,L7L,Halton,Family Style,No,5,Yes,No,14.53,No
Control,M2F,Toronto,Casual Dining,Franchise,13,Yes,Yes,20.63,No
Control,M2Y,Toronto,Casual Dining,No,5,Yes,Yes,20.54,No
Control,M5R,Toronto,Family Style,No,5,Yes,Yes,14.45,No
Control,M6B,Toronto,Casual Dining,No,18,Yes,Yes,21.87,No
Control,L4T,Peel,Family Style,No,1,Yes,Yes,16.87,No
Control,L4Y,Peel,Fast Food,Franchise,8,Yes,No,15.14,No
Control,L4Y,Peel,Fast Casual,No,18,Yes,No,18,No
Control,L0E,Durham,Premium Casual,No,7,Yes,No,21.83,No
Control,L9E,Halton,Fast Casual,No,9,No,Yes,11.47,No
Control,L9N,York,Family Style,Franchise,0,Yes,No,18,No
Control,L4T,Peel,Casual Dining,Franchise,15,Yes,Yes,21.56,No
Control,L9L,Durham,Casual Dining,No,14,Yes,No,16.51,Yes
Control,L5B,Peel,Fast Casual,Franchise,4,Yes,Yes,16.36,No
Control,L4W,Peel,Family Style,No,1,Yes,No,15.35,No
Control,M7X,Toronto,Casual Dining,No,3,Yes,No,15.47,No
Control,M7Y,Toronto,Casual Dining,Franchise,22,No,Yes,22.25,No
Control,M4L,Toronto,Fast Casual,Franchise,10,Yes,No,19.89,No
Control,M7U,Toronto,Family Style,Franchise,0,Yes,Yes,18.17,No
Control,L9T,Halton,Fine Dining,Franchise,16,Yes,Yes,18.5,No
Control,L6B,York,Fast Casual,No,9,Yes,Yes,21.15,No
Control,L9P,Durham,Premium Casual,Franchise,11,Yes,No,18.66,No
Control,L0E,Durham,Premium Casual,No,20,Yes,No,16.64,No
Control,L3X,York,Casual Dining,No,6,Yes,Yes,20.28,No
Control,M5Z,Toronto,Family Style,Franchise,14,Yes,No,16.83,No
Control,M0Q,Toronto,Casual Dining,No,20,Yes,Yes,19.36,No
Control,L0G,York,Family Style,Franchise,5,Yes,No,13.27,No
Control,L4C,York,Casual Dining,No,2,Yes,No,19.81,No
Control,L0E,York,Fine Dining,No,1,Yes,Yes,18.8,No
Control,L6A,York,Fast Casual,No,8,Yes,Yes,10.61,No
Control,L0P,Halton,Family Style,No,0,Yes,Yes,18.41,No
Control,L1W,Durham,Casual Dining,No,5,Yes,No,20.15,No
Control,M0O,Toronto,Family Style,No,2,Yes,No,17.1,No
Control,M5I,Toronto,Fast Food,No,9,No,Yes,19.55,No
Control,L1G,Durham,Fast Food,Franchise,16,Yes,No,21.34,No
Control,L5C,Peel,Fast Casual,No,11,Yes,No,15.86,No
Control,M4Q,Toronto,Family Style,Franchise,17,Yes,Yes,15.5,No
Control,L3S,York,Family Style,Franchise,2,Yes,Yes,20.32,No
Control,L6T,Peel,Fast Casual,Franchise,11,Yes,No,16.94,No
Control,L7E,York,Fast Casual,No,4,Yes,No,14.54,No
Control,M4G,Toronto,Fine Dining,Franchise,14,Yes,No,17.36,No
Control,L0E,Durham,Casual Dining,No,18,Yes,No,15.74,No
Control,M9K,Toronto,Fast Food,Franchise,1,Yes,Yes,13.47,No
Control,L1P,Durham,Fast Casual,No,8,Yes,No,17.63,No
Control,L0E,Durham,Casual Dining,No,16,Yes,No,20.97,No
Control,L6E,York,Casual Dining,No,5,No,No,19.04,No
Control,L7K,Peel,Fine Dining,Franchise,1,Yes,Yes,20.43,No
Control,L1K,Durham,Fast Food,No,7,Yes,No,19.11,No
Control,L6G,York,Fast Food,Franchise,4,No,Yes,14.51,No
Control,L7E,York,Fine Dining,No,16,Yes,No,16.04,No
Control,M5Y,Toronto,Fast Casual,No,14,Yes,No,19.8,No
Control,L6A,York,Family Style,Franchise,16,Yes,No,15.56,No
Control,L7L,Halton,Casual Dining,Franchise,16,Yes,Yes,15.06,No
Control,L4T,Peel,Casual Dining,No,25,Yes,Yes,17.91,No
Control,L0E,Durham,Fast Casual,Franchise,7,Yes,No,19.71,No
Control,L3P,York,Fast Casual,No,7,Yes,No,14.66,No
Control,L7P,Halton,Family Style,No,7,Yes,Yes,16.03,No
Control,L6M,Halton,Fine Dining,Franchise,17,Yes,No,14.95,No
Control,L0E,Durham,Casual Dining,No,4,Yes,No,15.42,No
Control,L9L,Durham,Family Style,No,15,No,No,20.15,No
Control,L6Y,Peel,Fast Food,No,14,Yes,Yes,15.74,No
Control,L0B,Durham,Casual Dining,Franchise,6,Yes,No,18.63,No
Control,L6Z,Peel,Family Style,No,12,Yes,No,15.79,No
Control,M7R,Toronto,Fast Casual,No,13,Yes,No,17.09,No
Control,L4H,York,Family Style,Franchise,19,Yes,Yes,16.58,No
Control,L6Z,Peel,Family Style,Franchise,4,Yes,No,14.31,No
Control,M3Z,Toronto,Family Style,Franchise,15,Yes,No,18.63,No
Control,L4L,York,Casual Dining,Franchise,8,Yes,Yes,18.68,No
Control,L7K,Peel,Premium Casual,No,5,Yes,Yes,15.02,No
Control,L9E,Halton,Family Style,No,14,Yes,No,21.87,No
Control,L7C,Peel,Casual Dining,No,8,Yes,No,17.59,No
Control,L6G,York,Fast Casual,No,2,Yes,Yes,16.38,No
Control,L9P,Durham,Casual Dining,No,11,No,No,13.85,No
Control,L6W,Peel,Casual Dining,No,5,Yes,No,15.34,No
Control,L1N,Durham,Fine Dining,Franchise,12,Yes,No,22.95,No
Control,L7K,Peel,Family Style,No,5,Yes,Yes,21.66,No
Control,L4H,York,Fast Food,Franchise,2,No,No,15.06,No
Control,L6C,York,Fine Dining,Franchise,26,Yes,No,23.82,No
Control,L0G,York,Fast Casual,Franchise,12,Yes,No,20.42,No
Control,L0C,Durham,Fine Dining,Franchise,16,Yes,Yes,21.8,No
Control,L0N,York,Casual Dining,Franchise,16,No,No,19.58,No
Control,L3P,York,Family Style,No,6,Yes,No,17.53,No
Control,L3S,York,Premium Casual,No,15,Yes,No,20.79,No
Control,L6X,Peel,Family Style,No,16,Yes,No,18.62,No
Control,L9N,York,Casual Dining,No,14,Yes,Yes,17.88,No
Control,M7F,Toronto,Family Style,No,19,Yes,No,19.34,No
Control,M3I,Toronto,Fine Dining,No,23,Yes,No,21.78,No
Control,L5A,Peel,Fast Food,No,12,Yes,Yes,20.65,No
Control,L9N,York,Fast Casual,No,8,Yes,No,15.15,No
Control,M6I,Toronto,Casual Dining,No,2,Yes,Yes,14.71,No
Control,L9P,Durham,Premium Casual,Franchise,8,Yes,Yes,16.58,No
Control,L7S,Halton,Fast Food,No,5,No,Yes,17.77,No
Control,L9E,Halton,Premium Casual,No,9,Yes,No,15.95,No
Control,M7Q,Toronto,Casual Dining,Franchise,2,No,Yes,18.75,No
Control,L7E,York,Casual Dining,Franchise,1,Yes,Yes,18.81,No
Control,M3S,Toronto,Fast Food,No,9,Yes,No,14.32,No
Control,L5P,Peel,Fine Dining,Franchise,6,Yes,No,18.09,No
Control,L7B,York,Family Style,Franchise,16,Yes,Yes,17.24,No
Control,L0G,York,Fast Casual,Franchise,7,Yes,No,13.65,No
Control,M0J,Toronto,Premium Casual,Franchise,15,Yes,Yes,17.18,No
Control,L9N,York,Fine Dining,No,14,Yes,No,13.89,No
Control,L6Z,Peel,Family Style,No,5,Yes,Yes,15.13,No
Control,L0J,York,Casual Dining,Franchise,4,No,Yes,19.32,No
Control,L7A,Peel,Casual Dining,No,20,Yes,No,15.65,No
Control,L4Y,Peel,Fine Dining,No,7,Yes,No,10.81,No
Control,L5R,Peel,Family Style,No,11,Yes,No,21.92,No
Control,L5P,Peel,Premium Casual,No,8,Yes,No,20.07,No
Control,M5M,Toronto,Casual Dining,No,14,Yes,Yes,20.48,No
Control,L9T,Halton,Family Style,Franchise,0,Yes,Yes,17.62,No
Control,M6T,Toronto,Premium Casual,No,4,Yes,No,23.23,No
Control,L6P,Peel,Premium Casual,Franchise,5,Yes,No,16.73,No
Control,L9T,Halton,Fine Dining,Franchise,17,Yes,Yes,14.7,No
Control,L5C,Peel,Casual Dining,Franchise,17,Yes,No,17.16,No
Control,L9L,Durham,Fine Dining,No,6,Yes,Yes,17.23,No
Control,L0C,Durham,Family Style,No,12,Yes,Yes,19.92,No
Control,L1P,Durham,Family Style,No,0,Yes,No,21.14,No
Control,L7E,York,Casual Dining,No,12,No,No,21.65,No
Control,L1S,Durham,Casual Dining,No,4,Yes,Yes,11.64,No
Control,M1P,Toronto,Casual Dining,No,18,Yes,No,17.91,No
Control,L6W,Peel,Family Style,No,7,Yes,Yes,17.89,No
Control,L1Z,Durham,Casual Dining,No,6,Yes,Yes,22.13,No
Control,L7R,Halton,Premium Casual,No,5,Yes,No,13.18,No
Control,M1H,Toronto,Family Style,Franchise,10,Yes,Yes,22.26,No
Control,L9N,York,Premium Casual,Franchise,6,Yes,No,18.23,No
Control,L4P,York,Family Style,Franchise,18,Yes,Yes,14.81,No
Control,L6Y,Peel,Fast Casual,Franchise,8,Yes,Yes,24.57,No
Control,M3I,Toronto,Premium Casual,No,1,Yes,No,16.38,No
Control,M5H,Toronto,Family Style,Franchise,14,Yes,Yes,16.64,No
Control,L6T,Peel,Fine Dining,No,17,Yes,Yes,18.47,No
Control,L9T,Halton,Fast Casual,No,3,Yes,Yes,18.77,No
Control,M6O,Toronto,Family Style,Franchise,10,Yes,No,17.62,No
Control,L9E,Halton,Casual Dining,No,13,Yes,No,15.66,No
Control,L1Z,Durham,Family Style,No,6,No,No,17.43,No
Control,L7E,York,Fast Food,No,5,Yes,Yes,21.61,No
Control,M6H,Toronto,Fast Casual,No,0,Yes,Yes,18.27,No
Control,M6A,Toronto,Fast Casual,No,8,Yes,No,14.74,No
Control,M8H,Toronto,Casual Dining,No,22,Yes,Yes,17.71,No
Control,L9N,York,Fast Casual,No,15,Yes,No,15.84,No
Control,L4T,Peel,Casual Dining,No,6,Yes,No,17.9,No
Control,M8B,Toronto,Family Style,Franchise,6,Yes,Yes,20.2,No
Control,L7R,Halton,Casual Dining,No,9,No,Yes,18.96,No
Control,L7K,Peel,Casual Dining,No,12,Yes,No,16.88,No
Control,L7L,Halton,Family Style,Franchise,11,Yes,No,17.36,No
Control,M0U,Toronto,Casual Dining,No,1,Yes,No,18.96,No
Control,L6R,Peel,Fine Dining,Franchise,8,Yes,Yes,17.85,No
Control,L4P,York,Fast Food,No,22,Yes,No,18.66,No
Control,M0G,Toronto,Casual Dining,Franchise,5,Yes,No,11.72,No
Control,L5C,Peel,Casual Dining,No,7,Yes,No,17.18,No
Control,L4S,York,Fast Casual,No,6,No,No,15.27,No
Control,M9K,Toronto,Casual Dining,Franchise,3,Yes,No,19.15,No
Control,M1D,Toronto,Fine Dining,No,9,Yes,Yes,14.02,No
Control,L0C,Durham,Casual Dining,No,18,No,No,16.37,No
Control,L7E,York,Family Style,No,7,Yes,No,17.48,No
Control,L4V,Peel,Fast Casual,No,5,No,Yes,21.34,No
Control,L4S,York,Fast Casual,No,26,No,Yes,16.62,No
Control,L4T,Peel,Casual Dining,Franchise,5,Yes,No,20.38,No
Control,M5N,Toronto,Fast Casual,No,3,Yes,Yes,17.58,No
Control,L6G,York,Casual Dining,No,11,Yes,Yes,16.09,No
Control,M3I,Toronto,Fast Food,Franchise,2,No,Yes,19.43,No
Control,L6X,Peel,Casual Dining,No,11,Yes,Yes,19.18,No
Control,M0Y,Toronto,Casual Dining,No,6,Yes,No,17.6,No
Control,L6B,York,Fast Food,No,5,Yes,Yes,19.49,No
Control,L9P,Durham,Family Style,No,3,Yes,No,16.02,No
Control,M1Z,Toronto,Family Style,Franchise,3,Yes,Yes,16.59,No
Control,L6M,Halton,Family Style,No,9,Yes,Yes,18.94,No
Control,L7B,York,Premium Casual,Franchise,15,No,No,18.11,No
Control,M5F,Toronto,Casual Dining,Franchise,13,Yes,No,14.76,No
Control,L6P,Peel,Family Style,Franchise,1,Yes,Yes,19.35,No
Control,L7L,Halton,Casual Dining,Franchise,4,Yes,Yes,16.65,No
Control,L4Y,Peel,Casual Dining,Franchise,1,Yes,No,15.7,No
Control,L7S,Halton,Casual Dining,No,3,Yes,Yes,20.88,No
Control,L3R,York,Family Style,No,16,Yes,No,16.61,No
Control,L0C,Durham,Premium Casual,No,4,Yes,Yes,20.17,No
Control,L7P,Halton,Fine Dining,No,6,Yes,Yes,14.19,No
Control,M3U,Toronto,Fast Casual,Franchise,5,Yes,No,14.67,No
Control,M4I,Toronto,Fine Dining,No,13,Yes,No,20.44,No
Control,M3Z,Toronto,Fine Dining,No,12,No,Yes,16.86,No
Control,M9K,Toronto,Casual Dining,Franchise,9,No,No,18.71,No
Control,L9P,Durham,Fine Dining,No,10,Yes,Yes,18.54,No
Control,M2E,Toronto,Fast Casual,No,10,Yes,Yes,19.51,No
Control,L7A,Peel,Premium Casual,No,15,Yes,Yes,15.13,No
Control,L3X,York,Premium Casual,No,2,Yes,Yes,14.87,No
Control,L9L,Durham,Fine Dining,No,5,Yes,No,16.42,No
Control,M2D,Toronto,Fine Dining,No,5,Yes,No,17.42,No
Control,L7E,York,Fast Casual,Franchise,2,Yes,No,19.89,No
Control,M6V,Toronto,Casual Dining,No,4,Yes,No,13.51,No
Control,M6T,Toronto,Fast Food,No,9,Yes,No,25.03,No
Control,M4K,Toronto,Fast Casual,No,15,Yes,Yes,17.42,No
Control,L7M,Halton,Fast Food,Franchise,1,Yes,Yes,14.62,No
Control,L9L,Durham,Fast Food,Franchise,10,No,No,16.06,No
Control,M0M,Toronto,Family Style,Franchise,14,Yes,No,16.77,No
Control,L4P,York,Casual Dining,No,20,Yes,Yes,21.81,No
Control,L6Y,Peel,Premium Casual,No,10,Yes,No,20.88,No
Control,M5F,Toronto,Fine Dining,Franchise,12,No,No,18.25,No
Control,M7V,Toronto,Fine Dining,No,5,Yes,Yes,21.99,No
Control,L4A,York,Casual Dining,No,12,Yes,No,18.11,No
Control,L4W,Peel,Fine Dining,No,11,Yes,Yes,21.79,No
Control,L9N,York,Casual Dining,Franchise,7,Yes,No,20.29,No
Control,L6J,Halton,Family Style,No,2,Yes,No,14.75,No
Control,L5P,Peel,Family Style,No,19,No,Yes,17.72,No
Control,L6P,Peel,Fast Casual,No,18,Yes,Yes,14.78,No
Control,M2S,Toronto,Family Style,No,4,Yes,Yes,19.64,No
Control,L7C,Peel,Fine Dining,No,7,Yes,Yes,17.87,No
Control,L9N,York,Fast Casual,No,23,Yes,No,22.36,No
Control,L4G,York,Premium Casual,No,11,No,Yes,16.37,No
Control,L9N,York,Family Style,No,21,Yes,No,16.81,No
Control,L6T,Peel,Fine Dining,No,14,Yes,No,20.3,No
Control,M1V,Toronto,Casual Dining,No,4,Yes,No,16.37,No
Control,L4W,Peel,Fast Casual,Franchise,3,Yes,Yes,15.5,No
Control,L0H,York,Fast Casual,Franchise,14,Yes,Yes,19.55,No
Control,M5A,Toronto,Casual Dining,Franchise,2,Yes,No,16.04,No
Control,M7L,Toronto,Fine Dining,Franchise,15,Yes,No,19.69,No
Control,L3X,York,Casual Dining,No,4,Yes,Yes,17.85,No
Control,L4V,Peel,Fast Casual,Franchise,9,Yes,Yes,21.65,No
Control,L0P,Halton,Fast Casual,Franchise,18,Yes,Yes,18.79,No
Control,L0P,Halton,Family Style,No,11,Yes,No,16.74,No
Control,L3P,York,Fast Food,No,2,Yes,No,19.32,No
Control,M3L,Toronto,Fast Food,No,7,Yes,Yes,21.91,No
Control,L0C,Durham,Family Style,No,0,Yes,No,16.92,No
Control,M6M,Toronto,Casual Dining,Franchise,12,Yes,No,13.36,No
Control,M0B,Toronto,Casual Dining,Franchise,0,Yes,No,15.51,No
Control,M3G,Toronto,Fast Food,Franchise,8,Yes,No,20.43,No
Control,M8X,Toronto,Fast Casual,No,7,Yes,No,15.53,No
Control,L5N,Peel,Family Style,No,3,Yes,Yes,17.47,No
Control,M5C,Toronto,Casual Dining,Franchise,24,Yes,No,17.31,No
Control,L7K,Peel,Fine Dining,No,1,Yes,Yes,16.1,No
Control,L9N,York,Fine Dining,No,1,No,No,12.99,No
Control,M1S,Toronto,Fast Casual,Franchise,21,Yes,Yes,16.67,No
Control,M8N,Toronto,Premium Casual,No,1,Yes,No,20.67,No
Control,M0R,Toronto,Casual Dining,Franchise,16,Yes,Yes,19.4,No
Control,M6R,Toronto,Casual Dining,Franchise,2,Yes,Yes,18.56,No
Control,L4W,Peel,Premium Casual,Franchise,19,Yes,Yes,18.93,No
Control,L5R,Peel,Fine Dining,Franchise,20,Yes,Yes,16.14,No
Control,L7K,Peel,Fast Casual,Franchise,14,Yes,No,16.13,No
Control,M1M,Toronto,Fast Food,No,19,Yes,No,20.39,No
Control,L3X,York,Premium Casual,Franchise,8,Yes,No,20.73,No
Control,L0C,Durham,Family Style,No,1,Yes,Yes,18.86,No
Control,M8E,Toronto,Casual Dining,Franchise,11,No,No,16.77,No
Control,M5P,Toronto,Fast Casual,No,5,Yes,No,19.7,No
Control,L4Y,Peel,Fast Food,No,22,Yes,No,12.57,No
Control,L9P,Durham,Fast Casual,Franchise,13,Yes,Yes,14.71,Yes
Control,M7O,Toronto,Casual Dining,Franchise,15,No,Yes,18.07,No
Control,L4E,York,Fast Casual,No,11,Yes,Yes,21.42,No
Control,L6Y,Peel,Fast Casual,Franchise,8,Yes,No,14.96,No
Control,L7B,York,Fast Food,No,7,Yes,No,13.78,No
Control,L6M,Halton,Casual Dining,Franchise,5,Yes,No,13.92,No
Control,L0B,Durham,Fast Casual,Franchise,6,Yes,Yes,18.1,No
Control,M6M,Toronto,Premium Casual,Franchise,12,Yes,No,15.34,No
Control,L4S,York,Casual Dining,No,22,Yes,No,13.82,No
Control,L4W,Peel,Casual Dining,Franchise,16,Yes,Yes,19.66,No
Control,M7Z,Toronto,Family Style,No,12,Yes,No,14.02,No
Control,M9Q,Toronto,Fast Casual,Franchise,2,Yes,Yes,17.38,No
Control,M2Z,Toronto,Fast Casual,No,15,Yes,Yes,20.05,No
Control,M7B,Toronto,Premium Casual,No,4,Yes,No,17.95,No
Control,L6R,Peel,Casual Dining,No,18,No,Yes,18.53,No
Control,L7K,Peel,Casual Dining,Franchise,7,Yes,No,22.91,No
Control,L3P,York,Casual Dining,No,10,Yes,No,17.53,No
Control,M0Y,Toronto,Fast Casual,Franchise,8,No,No,20.3,No
Control,M2F,Toronto,Fast Food,No,18,No,Yes,17.04,No
Control,L4W,Peel,Casual Dining,No,16,Yes,Yes,15.07,No
Control,M0R,Toronto,Fine Dining,No,17,Yes,No,13.53,No
Control,L6W,Peel,Premium Casual,Franchise,10,Yes,No,17.66,No
Control,L7E,York,Casual Dining,No,8,Yes,Yes,18.98,No
Control,L6G,York,Fast Casual,No,10,Yes,Yes,23.94,No
Control,L0P,Halton,Family Style,No,7,Yes,No,19.63,No
Control,L6C,York,Fine Dining,Franchise,10,Yes,Yes,15.75,No
Control,L0C,Durham,Casual Dining,No,10,Yes,Yes,15.13,No
Control,L4A,York,Fine Dining,Franchise,9,Yes,Yes,16.99,No
Control,L9N,York,Casual Dining,Franchise,3,Yes,Yes,17.65,No
Control,L4X,Peel,Premium Casual,No,13,Yes,No,17.03,No
Control,L7C,Peel,Fast Food,Franchise,1,No,Yes,17.2,No
Control,L1S,Durham,Casual Dining,No,12,Yes,No,19.9,No
Control,M0N,Toronto,Fine Dining,No,14,Yes,Yes,16.09,No
Control,M0W,Toronto,Fast Food,No,1,Yes,Yes,20.76,No
Control,L9L,Durham,Family Style,No,7,Yes,No,15.5,No
Control,L1R,Durham,Fast Food,Franchise,2,Yes,No,14.38,No
Control,L4B,York,Family Style,Franchise,4,Yes,Yes,16.3,No
Control,L9L,Durham,Casual Dining,Franchise,11,Yes,Yes,19.44,No
Control,L7P,Halton,Casual Dining,No,13,No,Yes,12.9,No
Control,L3S,York,Casual Dining,No,1,Yes,Yes,22.03,No
Control,M3R,Toronto,Family Style,Franchise,1,Yes,No,16.87,No
Control,L1Y,Durham,Family Style,No,8,Yes,Yes,14.71,No
Control,L6V,Peel,Premium Casual,Franchise,13,No,No,17.68,No
Control,L0P,Halton,Fast Casual,No,22,Yes,Yes,16.71,No
Control,M5V,Toronto,Fast Casual,No,6,Yes,No,22.26,No
Control,L9T,Halton,Casual Dining,No,4,Yes,No,17.32,No
